"","Weather Forecast for Main Cities","","","Date :","25-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","26","90","60","A few showers"
"Batticaloa","34","27","90","65","Mainly fair"
"Colombo","29","25","95","75","Showers at times"
"Galle","29","26","95","80","Showers at times"
"Jaffna","33","28","90","70","A few showers"
"Kandy","28","23","95","70","Several spells of showers"
"Nuwara-Eliya","17","15","95","80","Showers at times"
"Ratnapura","30","25","95","80","Showers at times"
"Trincomalee","32","26","90","55","Mainly fair"
"Mannar","31","28","90","70","A few showers"
