"","Weather Forecast for Main Cities","","","","20-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","23","90","45","Mainly fair"
"Batticaloa","31","24","90","65","A few showers"
"Colombo","33","25","90","50","Mainly fair"
"Galle","33","25","90","55","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","24","90","55","Mainly fair"
"Kandy","34","20","90","45","Mainly fair"
"Nuwara-Eliya","23","10","95","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","23","95","45","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","24","90","60","Mainly fair"
"Mannar","34","24","90","50","Mainly fair"
