"","පේධතිකේ පුකරෝ ථන මොර්ගය සෙ පේධතිකේ තීව්‍රතොවය","",""
"දිනය/කේලොව)","ස
්ථොනය","උපරිම සුළකග් කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලෙං ො පැය)","(උතුරු අක්්ොෙංශ oN","",""
"","නැකගනහිර කේශොෙංශ  oE)","",""
"10.05.23/1130","9.1/88.6","55-65 විටින් විට 70 දක්ො","ගැඹුරු පීඩන අෙපාතයක්"
"10.05.23/1730","9.7/88.1","60-70 විටින් විට 75 දක්ො","සුළි කුණාටුෙක්"
"10.05.23/2330","10.3/87.7","70-80 විටින් විට 90 දක්ො","සුළි කුණාටුෙක්"
"11.05.23/0530","11.0/87.6","90-100 විටින් විට 110 දක්ො","චණ්ඩ සුළි කුණාටුෙක්"
"11.05.23/1730","11.9/87.5","105-115 විටින් විට 125 දක්ො","චණ්ඩ සුළි කුණාටුෙක්"
"12.05.23/0530","13.1/87.6","125-135 විටින් විට 150 දක්ො","ඉතා චණ්ඩ සුළි කුණාටුෙක්"
"12.05.23/1730","14.3/88.2","130-140 විටින් විට 155 දක්ො","ඉතා චණ්ඩ සුළි කුණාටුෙක්"
"13.05.23/0530","15.8/89.3","140-150 විටින් විට 165 දක්ො","ඉතා චණ්ඩ සුළි කුණාටුෙක්"
