"නුවරඑලිය","","","","","","","","","","","","",""
"8
Ambagamuwa
Flood
Etnuypah","2023.04.24","14","52","","","","","14","","","1","10","30 Gawarawila Church"
"මධ්‍යම පලාත","","","","","","","","","","","","",""
"Nuwara Eliya","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","",""
"Central
දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","14","52","0","0","0","0","14","0","0","1","10","30"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","14","52","0","0","0","0","14","0","0","1","10","30"
"Karuwalagaswewa","2023.04.26","2","4","","","","","2","","","","",""
"පුත්තලම","Heavy Rain & High","","","","","","","","","","","",""
"Anamaduwa","2023.04.26","1","2","","","","","1","","","","",""
"Wind
Gj;jsk;      
9","","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","",""
"Puttalama","2023.04.27","1","5","","","","","1","","","","",""
"Puttalam","","","","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","",""
"Wennappuwa
Fire","2023.04.26","1","4","","","","","1","","","","",""
"North Western","","","","","","","","","","","","",""
"දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","5","15","0","0","0","0","5","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","5","15","0","0","0","0","5","0","0","0","0","0"
"ගකාළඹ","","","","","","","","","","","","",""
"10
Kesbewa
High Wind","","4","23","","","","","3","","","","",""
"Western            
nfhOk;G Colombo","","","","","","","","","","","","",""
"Nky; khfhzk","","","","","","","","","","","","",""
"බසරනාහිර පලාත
දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","4","23","0","0","0","0","3","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4","23","0","0","0","0","3","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","6500","21561","0","7","0","3","109","2","0","2","80","270"
"","","","","ආපදා කළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
