"","Weather Forecast for Main Cities","","","Date :","21-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","24","95","80","Several spells of showers"
"Batticaloa","29","24","95","80","Several spells of showers"
"Colombo","32","25","90","75","Showers or thundershowers after 2.00p.m"
"Galle","29","24","95","85","Showers or thundershowers after 2.00p.m"
"Jaffna","29","24","90","80","A few showers"
"Kandy","28","21","95","80","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","18","14","95","85","Several spells of showers"
"Ratnapura","31","23","95","80","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","90","80","Several spells of showers"
"Mannar","29","24","90","80","Showers or thundershowers after 2.00p.m"
