"","Division(s) (DSD) and"
"","surrounding areas."
"","Alawwa,"
"","Mawathagama,"
"","Narammala,"
"","Polgahawela and"
"Kurunegala","Rideegama"
"","D
ivisional Secretariat"
"","Division(s) (DSD) and"
"","surrounding areas."
"","Laggala Pallegama,"
"","Matale,"
"","Rattota and"
"","Ukuwela"
"Matale",""
"","D
ivisional Secretariat"
"","Division(s) (DSD) and"
"","surrounding areas."
"","Ambagamuwa,"
"","Kotmale and"
"","Walapane"
"Nuwara Eliya",""
"","ivisional Secretariat"
"","Division(s) (DSD) and"
"","surrounding areas."
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels",""
