"","Weather Forecast for Main Cities","","","","2024-07-15"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","60","Mainly fair"
"Batticaloa","35","26","80","55","Mainly fair"
"Colombo","30","24","95","80","Showers at times"
"Galle","29","25","90","80","Showers at times"
"Jaffna","32","28","80","75","Mainly fair"
"Kandy","28","23","95","85","Showers at times"
"Nuwara-Eliya","18","15","95","85","Showers at times"
"Ratnapura","30","24","95","85","Showers at times"
"Trincomalee","34","27","85","50","Mainly fair"
"Mannar","30","28","85","75","Mainly fair"
