"","","","","","Injured","Missing","","","நிறுவனங்களின்","","","","","",""
"மாவட்டம்","","","egHfs;","","","","","","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"","commence","FLk;gq;fs;","","","","","KOik","T","","","","","","",""
"DS","","","People","","People","People","","","சேதங்கள்; Small,","","Damages to","","f   No.","s; 
Persons",""
"District","","Families","","","","","Fully","Partially","","","","","","",""
"Division","d","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","Damages","","","","","",""
"නුවරඑලිය  
Nuwara Eliya
Land slide Risk","2020.12.21","3","14","","","","","","","","","","1","3","14 Concordia GN Wetherset"
"","","","","","","","","","","","","","","","Hospital"
"1
Etnuypah 
මධ්‍යම පලාත","","","","","","","","","","","","","","",""
"Nuwara Eliya
Ambagamuwa
High Wind
kj;jpa","2021.03.07","22","88","","","","","22","","","","","","",""
"khfhzk","","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","25","102","0","0","0","0","22","","0","","0","1","3","14"
"Central","","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","25","102","0","0","0","0","22","","0","","0","1","3","14"
"Tree Fallen","2021.02.07","2","10","","1","","","2","","","","","1","1","5 Sri Muttumari Amman Kovil"
"Haldumulla","","","","","","","","","","","","","","",""
"බදුල්ල","","","","","","","","","","","","","","",""
"2
gJs;is 
ඌව              
High Wind","2021.03.06","7","32","","","","","7","","","","","","",""
"Badulla
Cth","","","","","","","","","","","","","","",""
"Soranathota
Tree Fallen","2021.03.07","1","1","","","","","1","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"Uva
Welimada
Fire","2021.02.19","1","2","","","","1","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","11","45","0","1","0","1","10","","0","","0","1","1","5"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","11","45","0","1","0","1","10","","0","","0","1","1","5"
"පුත්තලම","","","","","","","","","","","","","","",""
"3
Pallama
Lighting
වයඹ පලාත 
Gj;jsk;","2021.03.06","1","4","","","","","1","","","","","","",""
"tlNky; 
Puttalam","","","","","","","","","","","","","","",""
