"","","","","","","","","Page 2","","","","","","","",""
"","","","Lighting & Wind","2021.03.06","10","35","","","","","10","","","","",""
"","","Yatiyanthota","","","","","","","","","","","","","",""
"","","","High Wind","2021.03.08","5","28","","","","","5","","","","",""
"","","","Tree Fallen","2021.03.06","5","21","","","","","5","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"","","Deraniyagala","","","","","","","","","","","","","",""
"rg;ufKt","","","High Wind","2021.03.08","5","13","","","","","5","","","","",""
"Sabaragamuw","කෑගල්ල","","","","","","","","","","","","","","",""
"a","8
Nffhiy","Rabukkana","Wind","2021.03.08","2","4","","","","","2","","","","",""
"","Kegalle","","","","","","","","","","","","","","",""
"","","Dehiovita","High Wind","2021.03.08","30","98","","","","","3","","","","",""
"","","Galigamuwa","Rain & Wind","2021.03.06","1","5","","","","","1","","","","",""
"","","Warakapola","Wind","2021.03.08","1","4","","","","","1","","","","",""
"","","Bulatkohupitiya","High Wind","2021.03.08","2","5","","","","","2","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","61","213","0","0","0","0","34","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","102","366","0","0","0","0","75","0","0","0","0","0"
"","","","","2021.03.06","2","7","","","","","2","","","","",""
"","","Dompe","Tree Fallen / Wind","","","","","","","","","","","","",""
"","","","","2021.03.08","23","87","","","","","23","","","","",""
"","","Gampaha","High Wind","2021.03.08","1","4","","","","","1","","","","",""
"","","","Heavy Rain","2021.03.08","6","31","","","","","6","","","","",""
"","","Attanagalla","","","","","","","","","","","","","",""
"","ගම්පහ","","Lightning","2021.03.07","1","4","","","","","1","","","","",""
"Western","9
fk;g`h","","","","","","","","","","","","","","",""
"Nky;","Gampaha","","Heavy Rain","2021.03.06","1","5","","","","","1","","","","",""
"","","Ja Ela","","","","","","","","","","","","","",""
"khfhzk;බස්ත්‍රනා","","","","","","","","","","","","","","","",""
"","","","High Wind","2021.03.03","1","3","","","","","1","","","","",""
"හිර පලාත","","","","","","","","","","","","","","","",""
"","","Mahara","","2021.03.08","6","18","","","","","6","","","","",""
"","","","Wind / Rain","","","","","","","","","","","","",""
"","","Merigama","","2021.03.08","9","34","","","","","9","","","","",""
"","","Katana","Tree Fallen","2021.03.01","1","4","","","","","1","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","51","197","0","0","0","0","51","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","51","197","0","0","0","0","51","0","0","0","0","0"
"","හම්බන්වතාට","Beliatta","Tree Fallen","2021.03.07","1","3","","","","","1","","","","",""
"","`k;ghe;Njhl;","","","","","","","","","","","","","","",""
"","10","Ambalanthota","Heavy Rain","2021.03.06","1","5","","","","","1","","","","",""
"","il","","","","","","","","","","","","","","",""
"","Hambantota","Suriyawewa","Lightning","2021.03.08","3","13","1","","","","1","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","21","1","0","0","0","3","0","0","0","0","0"
"njd;","","","","","","","","","","","","","","","",""
"khfhzk;","මාතර","","","","","","","","","","","","","","",""
"Southern","11
khj;jiw","Dikkwella","Drowning","2021.03.08","1","1","1","","","","","","","","",""
"","Matara","","","","","","","","","","","","","","",""
