"","Weather Forecast for Main Cities","","","Date :","21-Sep-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","Mainly fair"
"Batticaloa","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","95","80","Showers at times"
"Galle","29","27","95","80","Showers at times"
"Jaffna","30","26","95","80","Several spells of showers"
"Kandy","29","20","95","75","Several spells of showers"
"Nuwara-Eliya","18","15","95","80","Several spells of showers"
"Ratnapura","32","23","95","80","Showers at times"
"Trincomalee","33","26","85","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","85","75","Several spells of light showers"
