"","Weather Forecast for Main Cities","","","Date :","2-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","24","95","85","A few showers"
"Batticaloa","29","24","95","80","Showers or thundershowers at times"
"Colombo","30","25","90","70","Showers at times"
"Galle","29","25","95","75","Showers at times"
"Jaffna","29","24","90","80","A few showers"
"Kandy","29","22","95","75","Showers or thundershowers at times"
"Nuwara-Eliya","18","15","95","85","Showers or thundershowers at times"
"Ratnapura","32","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","25","95","80","A few showers"
"Mannar","30","25","95","80","A few showers"
