doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf	time_str	ut
lk_dmc_weather_forecasts	2025-10-07-05-30-weather-forcast	05-30-weather-forcast	2025-10-07	Weather Forcast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_0530hrs__1759795547.pdf	05:30	1759795200.0
lk_dmc_weather_forecasts	2025-10-06-16-00-weather-forecast	16-00-weather-forecast	2025-10-06	Weather Forecast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1600hrs_on_06__1759747524.pdf	16:00	1759746600.0
lk_dmc_weather_forecasts	2025-10-06-14-00-weather-forecast	14-00-weather-forecast	2025-10-06	Weather Forecast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1400hrs_on_06__1759740651.pdf	14:00	1759739400.0
lk_dmc_weather_forecasts	2025-10-06-13-30-advisory-for-seve-28968b44	13-30-advisory-for-severe-lightning--04	2025-10-06	Advisory for Severe Lightning - 04	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Advisory_for_Severe_Lightning_-_04_at_1330hrs_on_06__1759738285.pdf	13:30	1759737600.0
lk_dmc_weather_forecasts	2025-10-06-05-30-weather-forcast	05-30-weather-forcast	2025-10-06	Weather Forcast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_0530hrs__1759709767.pdf	05:30	1759708800.0
lk_dmc_weather_forecasts	2025-10-05-16-00-weather-forcast	16-00-weather-forcast	2025-10-05	Weather Forcast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1600hrs_on_05__1759660941.pdf	16:00	1759660200.0
lk_dmc_weather_forecasts	2025-10-05-15-00-fishermen-bulleti-20c6df84	15-00-fishermen-bulletin-for-strong-winds-and-rough-seas	2025-10-05	Fishermen bulletin for strong winds and rough seas	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Fishermen_bulletin_for_strong_winds_and_rough_seas_at_1500hrs_on_05__1759657382.pdf	15:00	1759656600.0
lk_dmc_weather_forecasts	2025-10-05-14-00-weather-forecast-tamil	14-00-weather-forecast-tamil	2025-10-05	Weather Forecast (Tamil)	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1400hrs_on_05__1759653846.pdf	14:00	1759653000.0
lk_dmc_weather_forecasts	2025-10-05-14-00-weather-forecast	14-00-weather-forecast	2025-10-05	Weather Forecast	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Weather_Report_at_1400hrs_on_05__1759653461.pdf	14:00	1759653000.0
lk_dmc_weather_forecasts	2025-10-05-12-30-advisory-for-seve-85df0d3f	12-30-advisory-for-severe-lightning	2025-10-05	Advisory for Severe Lightning	https://www.dmc.gov.lk/index.php?option=com_dmcreports&view=reports&Itemid=274&report_type_id=2&lang=si-ta-en&limitstart=0	en	https://www.dmc.gov.lk/images/dmcreports/Advisory_for_Severe_Lightning_at_1230hrs_on_05__1759649473.pdf	12:30	1759647600.0
