"","","","","","","","","","","","",""
"Kadawathsathara","1","4","Page 2","","","","1","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Elpitiya","1","4","","","","","1","","","","",""
"Baddegama","2","7","","","","","2","","","","",""
"Hikkaduwa
ගාල්ල","8","31","","","","","8","","","","",""
"5
Heavy Rain & High wind
fhyp       
Thawalama","2020.08.06
1","6","","","","","2","","","","",""
"Galle","","","","","","","","","","","",""
"Ambalangoda","5","20","","","","","5","","","","",""
"Bope Poddala","5","22","","","","","5","","","","",""
"Karandeniya","7","24","","","","","7","","","","",""
"දකුනු පලාත    njd; 
Welivitiya Divithura","2","7","","","","","2","","","","",""
"khfhzk;","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","32","125","0","0","0","0","33","0","0","0","0","0"
"Southern","","","","","","","","","","","",""
"Matara","1","","","","","","","","","","",""
"මාතර","","","","","","","","","","","",""
"6
Heavy Rain & High wind
Pitabeddara","2020.08.06
4","16","","","","","","","","","",""
"khj;jiw   Matara","","","","","","","","","","","",""
"Thihagoda","3","9","","1","","","2","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","8","25","0","1","0","0","2","0","0","0","0","0"
"හම්බනකතාට","","","","","","","","","","","",""
"7
Thangalla
Heavy Rain & High wind
`k;ghe;Njhl;ilH","8
2020.08.06","28","","1","","","7","","","","",""
"ambantota","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","8","28","0","1","0","0","7","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","48","178","0","2","0","0","42","0","0","0","0","0"
"Opanayake","4","12","","","","","4","","","","",""
"Eheliyagoda","172","552","","","","3","163","","","","",""
"Ayagama","21","61","","","","","19","","","","",""
"Rathnapura","191","762","","","","2","189","","","","",""
"Elapatha","8","31","","","","","8","","","","",""
"Balangoda
රත්නපුර","6","24","","","","","4","","","","",""
"8
Heavy Rain & High wind
,uj;jpdGhp    
Kalawana","2020.08.06
6","22","","","","","6","","","","",""
"Rathnapura","","","","","","","","","","","",""
"Kuruvita","400","1644","","1","","","400","","","","",""
"Pelmadulla","16","69","","","","","16","","","","",""
"සබරගමුව පලාත","","","","","","","","","","","",""
"Weligepola","3","14","","","","","3","","","","",""
"rg;ufKt","","","","","","","","","","","",""
"Nivithigala","3","12","","","","","3","","","","",""
"Sabaragamuwa","","","","","","","","","","","",""
"Kiriella","172","695","","","","1","171","","","","",""
"Godakawela","1","5","","","","","1","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","1003","3903","0","1","0","6","987","0","0","0","0","0"
"Dehiowita
High Wind","28","97","","","","","3","","","","",""
"Mawanella
කෑගල්ල","2","10","","","","","2","","","","",""
"9
Tree Fallen","2020.08.06","","","","","","","","","","",""
"Nffhiy Kegalle
Warakapola","2","8","","","","","2","","","","",""
"Deraniyagala
High Wind","19","80","","","","","19","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","51","195","0","0","0","0","26","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","1054","4098","0","1","0","6","1013","0","0","0","0","0"
"Pannala","1","4","","","","","1","","","","",""
"Wariyapola","1","1","","","","","1","","","","",""
"Polpitigama","7","26","","","","","7","","","","",""
"Giribawa","31","168","","","","8","23","","1","","",""
"Maho","1","4","","1","","","1","","1","","",""
"කුරුණෑගල","","","","","","","","","","","",""
"10
High Wind
Polgahawela
FUdhfy;","2020.08.05
3","10","","","","","3","1","","","",""
"Kurunegala","","","","","","","","","","","",""
"Panduwasnuwara West","14","51","","","","","14","","","","",""
"Galgamuwa","3","15","","","","","1","1","","","",""
"වයඹ පලාත","","","","","","","","","","","",""
"Kurunegala","18","76","","","","","18","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","",""
"Ambanpola
    North Western","4","12","","","","","4","","","","",""
"Mallawapitiya","20","85","","","","","17","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","103","452","0","1","0","8","90","2","2","0","0","0"
