"","","","","","","","","","","","","","","","",""
"Mundalama","","","61","254","Page 3","","","","","61","","1","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"karuwalagaswewa","","","22","80","","","","","","22","1","1","","","",""
"පුත්තලම    Gj;jsk;","","","","","","","","","","","","","","","",""
"11
Naththandiya","High Wind","2020.08.05","2","11","","","","","","2","","","","","",""
"Puttalam","","","","","","","","","","","","","","","",""
"Wanathavilluwa","","","12","48","","","","","","2","10","","","","",""
"Pallama","","","1","4","","","","","","1","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","","","98","397","","0","0","0","0","88","11","2","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","201","849","","0","1","0","8","178","13","4","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","2043","7753","","0","5","0","22","1961","13","4","0","0","0",""
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","","",""
