"සබරගමුව 
Bulathkohupitiya
Tree Fallen / 
කෑගල්ල/Nffhiy/","2018.10.30","2","10","","","","","2","","","","",""
"6","","","","","","","","","","","","",""
"පලාත/rg;uf
Kegalle
Lightning","","","","","","","","","","","","",""
"Warakapola","2018.10.19/24","4","17","","","","","1","","","","",""
"Kt/","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6","27","0","0","0","0","3","0","0","0","0","0"
"Sabaragam","","","","","","","","","","","","",""
"uwa/
පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","6","27","0","0","0","0","3","0","0","0","0","0"
"වයඹ 
Kalpitiya
Lightning","2018.10.30","1","4","","","","","1","","","","",""
"පුත්තලම/ Gj;jsk;/ 
පලාත/tlNk","","","","","","","","","","","","",""
"7","","","","","","","","","","","","",""
"Puttalam
y;","","","","","","","","","","","","",""
"Wanathawilluwa
Heavy Rain","2018.10.31","6","20","","","","","6","","","","",""
"khfhzk;/","","","","","","","","","","","","",""
"North 
දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","7","24","0","0","0","0","7","0","0","0","0","0"
"Western/","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","7","24","0","0","0","0","7","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","314","1184","0","3","0","3","130","12","0","3","8","38"
"","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
