"","Weather Forecast for Main Cities","","","Date :","3-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","65","Mainly fair"
"Batticaloa","29","24","90","80","Mainly fair"
"Colombo","33","23","90","65","Mainly fair"
"Galle","30","24","90","80","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","22","95","75","Mainly fair"
"Kandy","31","18","90","65","Mainly fair"
"Nuwara-Eliya","21","10","85","70","Mainly fair"
"Ratnapura","34","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","29","24","90","80","Mainly fair"
"Mannar","31","23","95","75","Mainly fair"
