"","","nra.gp    DS Division","","","","","","","KOik","sT","Kaw;rpfs;","","fl;likg;Gf;fs;","if","",""
"","District","","","s;","People","","People","g","","","","","","","fs;","Persons"
"","","","","","","","","","","Partiall","Small, Medium,","","Damages to","Safety","",""
"","","","","","","","","","Fully","","","","","","",""
"","","","","Families","","","","People","","","","","","","Families",""
"","","","","","","","","","","y","Enterprises","","critical","Location","",""
"","","","","","","","","","","","Damages","","Infastructure","","",""
"","","","","","","","","","","","","","","s","",""
"","Negombo","","","65","290","","","","","","","","","","",""
"","","Flood","2018.11.28","","","","","","","","","","","","",""
"","Katana","","","493","2191","","","","","","","","","","",""
"","Ja-ela
ගම්පහ","High Wind","2018.11.29","11","56","","","","","6","","6","","","",""
"Western/","","","","","","","","","","","","","","","",""
"1","fk;g`h","","","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","","","","",""
"","Gampaha","Tree Fallen","2018.11.25","1","5","","","","","1","","","","","",""
"","Gampaha","","","","","","","","","","","","","","",""
"khfhzk/;","","","","","","","","","","","","","","","",""
"බස්නාහිර","Meerigama","High Wind","2018.11.24","4","11","","","","1","3","","","","","",""
"පලාත","","","","","","","","","","","","","","","",""
"","Wattala","Heavy Rain","2018.11.30","13","65","","","","","13","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","587","2618","0","0","0","1","23","","6","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","587","2618","0","0","0","1","23","","6","0","0","0","0"
"","","ක්ෂණික ජල","","","","","","","","","","","","","",""
"ෙයඹ","","","","","","","","","","","","","","","",""
"","පුත්තලම/","ගැලීම්/jpBH","","","","","","","","","","","","","",""
"2
පලාත/tlNk","Halawatha","","2018.12.04","1","6","","","","","1","","","","","",""
"","Gj;jsk;/Puttalam","nts;sk;/Flash","","","","","","","","","","","","","",""
"y;","","","","","","","","","","","","","","","",""
"","","Flood","","","","","","","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","",""
