"Gampaha
Flood","","235","912","","","","","","","","","","",""
"Minuwangoda
Flood","","52","187","","","","","","","","3","6","23",""
"Aththanagalla
Flood","","279","1040","","","","","","","","7","252","977",""
"ගම්පහ","","","","","","","","","","","","","",""
"","2023.11.02 to","","","","","","","","","","","","",""
"fk;g`h     
4
Katana
Flood","","88","369","","","","","","","","","","",""
"Western","2023.11.12","","","","","","","","","","","","",""
"Gampaha","","","","","","","","","","","","","",""
"Ja Ela
Flood
Nky; khfhzk;","","251","1104","","","","","","","","2","20","74",""
"බස්ත්‍රනාහිර පලාත
Dompe
Heavy Rain","","7","28","","","","","","","","1","7","28",""
"Wattala
Flood","","1907","8019","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","2819","11659","0","0","0","0","0","0","0","13","285","1102",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","2819","11659","0","0","0","0","0","0","0","13","285","1102",""
"රත්නපුර","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Missing people are"
",uj;jpdGhp 
5
Balangoda
Landslide","2023.11.12","7","29","","","4","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","not yet confirm"
"Rathnapura","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
Sabaragamuwa","","7","29","0","0","4","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","7","29","0","0","4","0","0","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","5304","20549","0","0","4","1","8","0","0","22","428","1569",""
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","","",""
