"","Weather Forecast for Main Cities","","","","21-Jan-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","30","23","90","65","A few showers"
"Batticaloa","28","24","90","70","Several spells of light showers"
"Colombo","31","25","90","70","Mainly fair"
"Galle","31","24","95","70","Mainly fair"
"Jaffna","28","24","90","75","Mainly fair"
"Kandy","29","20","95","75","A few showers"
"Nuwara-Eliya","20","12","95","75","A few showers"
"Ratnapura","33","22","95","70","Mainly fair"
"Trincomalee","30","24","90","75","A few showers"
"Mannar","28","23","90","70","Mainly fair"
