"","Weather Forecast for Main Cities","","","","16-Jun-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","27","90","55","Mainly fair"
"Batticaloa","37","28","90","75","Mainly fair"
"Colombo","31","28","90","75","Several spells of showers"
"Galle","29","27","95","85","Several spells of showers"
"Jaffna","34","24","90","65","Mainly fair"
"Kandy","29","23","90","65","Several spells of showers"
"Nuwara-Eliya","19","15","95","85","Several spells of showers"
"Ratnapura","30","25","95","85","Several spells of showers"
"Trincomalee","35","27","85","50","A few showers"
"Mannar","33","28","85","75","A few showers"
