"","","","","Page 2","","","","","","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Hatharaliyadda","Cutting Failure","2019.12.19","1","1","","","","1","","","","","",""
"Udapalatha","Heavy Rain","2019.12.17","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","18","63","1","0","0","2","15","1","0","0","0","0"
"","","2019.12.04-05","5","21","","","","","1","","","1","2","11 Lipakele Childcare Center"
"","Landslide","","","","","","","","","","","","",""
"Nuwara Eliya","","2019.12.19","1","5","","","","1","","","","1","1","5 Headrest Cultural Central"
"","Fire","2019.12.16","1","4","","","","","4","","","","",""
"","","","","","","","","","","","","","","01. Munwatte Temple,"
