"","Weather Forecast for Main Cities","","","Date :","12-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","60","Mainly fair"
"Batticaloa","34","26","90","65","Mainly fair"
"Colombo","31","27","90","70","Several spells of showers"
"Galle","30","26","90","75","Several spells of showers"
"Jaffna","35","28","85","70","Mainly fair"
"Kandy","30","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","13","95","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","24","95","70","Several spells of showers"
"Trincomalee","35","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","28","90","65","Mainly fair"
