"","ප්‍රධාන  නග  සද ා කාලගුණ අනාවැකිය","","","දිනය :     2024-05-07",""
"","","උෂ්ණත්තවය(නස. අංශක)","","සානේක්ෂ ආර්ද්‍රතාවය(%)",""
"නග ය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරොධපුරය","36","27","90","55","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැ"
"මඩ ලපුෙ","34","28","95","65","ප්‍රධොන ෙශකයන් ෙැසි රහිත"
"ක ොළඹ","33","26","95","70","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැ"
"ගොල්ල","31","27","90","80","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැ"
"යොපනය","35","29","85","60","ප්‍රධොන ෙශකයන් ෙැසි රහිත"
"මහනුෙර","33","23","90","60","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැ"
"නුෙරඑළිය","25","12","95","55","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැ"
"රත්නපුරය","34","25","95","65","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති කේ"
"ත්‍රිකුණොමලය","37","27","95","55","ප්‍රධොන ෙශකයන් ෙැසි රහිත"
"මන්නොරම","34","27","90","75","සෙස 2.00න් පසුෙ ෙැසි කහෝ ගිගුරුම් සහිත ෙැසි ඇති  විය හැ"
