"","ගම්පහ     fk;g`h","","","","","","","","","","","","","","",""
"5","","","Flood","","","","","","","","","","","","",""
"","Gampaha","","","","","","","","","","","","","","",""
"","","Dompe","","2021.05.14","69","255","","","","","97","10","","1","5","23"
"","","Biyagama","","2021:05:14","1953","7580","1","","","","16","","","","",""
"","","Negambo","","2021:05:14","","","","","","","6","","","","",""
"","","Gampaha","","2021:05:15","1122","4336","","","","1","9","","","","",""
"","","Ja Ela","","2021.05.14","881","3229","","","","","4","","","1","13","52"
"","","Katana","","2021:05:14","137","563","","","","","6","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","8914","36930","1","0","0","1","207","17","0","6","30","132"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","9186","38068","1","0","0","1","298","17","0","22","231","986"
"","","Narammala","","","84","301","","","","","","","","","",""
"","","Pannala","","2021.05.13","54","202","","","","","2","","","","",""
"","","Alawwa","Flood","","18","55","","","","","","","","","",""
"","","Polgahawela","","","71","228","","","","","1","","","","",""
"","කුරුනෑගල","","","2021:05:14","","","","","","","","","","","",""
"6","FUdhfy;","Weerabugedara","","","6","17","","","","","","","","","",""
"","Kurunegala","","","","","","","","","","","","","","",""
"","","Paduwasnuwara W","High wind","2021:05:15","1","5","","","","","1","","","","",""
"","","Kuliyapitiya W","High wind","2021:05:14","1","4","","","","","1","","","","",""
"","","Nikaweratiya","Flood","2021:05:14","8","24","","","","","","","","","",""
"","","Paduwasnuwara E","High wind","2021:05:14","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","244","840","0","0","0","0","6","0","0","0","0","0"
"","","","Flood","2021:05:12","71","266","","","","","","","","","",""
"","","Arachchikattuwa","","","","","","","","","","","","","",""
"","","","High wind","2021:05:14","1","4","","","","","1","","","","",""
"වයඹ පලොත","","","","","","","","","","","","","","","",""
"","","","Flood","2021:05:13","145","485","","","","","","","","","",""
"tlNky;","","Chilaw","","","","","","","","","","","","","",""
"khfhzk;","","","High wind","2021:05:14","1","6","","","","","1","","","","",""
"North Western","","","","","","","","","","","","","","","",""
"","","Wanathavilluwa","Lightning","2021:05:13","3","10","","","","","3","","","","",""
"","","","Flood","","49","150","","","","","4","","","","",""
"","","Natthandiya","","","","","","","","","","","","","",""
"","","","High wind","","4","12","","","","","4","","","","",""
"","","Dankotuwa","Flood / Highwind","","10","25","","","","","3","","","","",""
"","පුත්තලම","","","","","","","","","","","","","","",""
"7","","Mundalama","High wind","","2","4","","","","","2","","","","",""
"","Gj;jsk; Puttalam","","","","","","","","","","","","","","",""
"","","Anamaduwa","High wind","","2","7","","","","","2","","","","",""
"","","Puttalam","High wind","2021:05:14","6","27","","","","","6","","","","",""
"","","Mahakubukkadawala","High wind","","1","4","","","","","1","","","","",""
"","","Vennappuwa","Flood","","85","294","","","","","","","","","",""
"","","Mahawewa","High wind","","3","11","","","","","3","","","","",""
"","","Madampe","High wind","","5","13","","","","","4","","","","",""
"","","Pallama","Flood","","13","39","","","","","1","","","","",""
"","","Kalpitiya","High wind","2021:05:15","1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","","402","1361","0","0","0","0","36","0","0","0","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","","646","2201","0","0","0","0","42","0","0","0","0","0"
"","","Nagoda","","","799","2100","2","","","1","43","","","","",""
"","","Thawalama","","","150","562","","1","","","150","","","","",""
"","","Yakkalamulla","","","25","93","","","","","25","","","","",""
"","","","Flood","","","","","","","","","","","","",""
"","","Kadawathsathara","","","63","176","","","","","8","","","","",""
"","","Neluwa","","","25","75","","","","","25","8","","","",""
"","","Niyagama","","","15","48","","","","","15","","","","",""
"","","Habaraduwa","Heavy Rain","","5","16","","","","","5","","","","",""
