"","හම්බන්තාට","Cutting Failure/","","","","","","","","","","","",""
"","8
Katuwana
`k;ghe;Njhl;il","2019.10.14/15
Lightning / High","5","29","","","","","5","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","",""
"","Hambantota","Wind","","","","","","","","","","","",""
"/njd; khfhzk;","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","5","29","0","0","0","0","5","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","5","29","0","0","0","0","5","0","0","0","0","0"
"","යාපනය","","","","","","","","","","","","",""
"","9
Chvakachcheri","Heavy Rain/wind
2019.10.13","9","27","","","","","9","","1","","",""
"උතුරු පලාත","aho;g;ghzk; Jaffna","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","",""
"Northen","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","9","27","0","0","0","0","9","0","1","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","9","27","0","0","0","0","9","0","1","0","0","0"
"","අම්පාර","","","","","","","","","","","","",""
"","10
Pottuvil
mk;ghiw","Lightning
2019.10.15","1","3","","","","","1","","","","",""
"නැ්ගනහිර පලාත","Ampara","","","","","","","","","","","","",""
"fpof;F     Eastern","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","1","3","0","0","0","0","1","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","1","3","0","0","0","0","1","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","1509","5660","5","10","0","26","671","43","9","5","126","521"
"","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
