"","","","","","","","","","","","","","","",""
"","Kalpitiya","","","1","3","Page 3","","","","1","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"","","Wind","2020.09.07","","","","","","","","","","","",""
"","Chilaw","","","1","4","","","","","1","","1","","",""
"","Mundalam","Rain & Wind","2020.09.06","2","6","","","","","2","","","","",""
"පුත්තලම    Gj;jsk;","Wanathavilluwa","High wind","","1","4","","","","","","1","","","",""
"වයඹ පලාත      
12","","","2020.09.07","","","","","","","","","","","",""
"Puttalam
tlNky;","Wennappuwa","Rain & Wind","","99","454","","","","","4","","","","",""
"khfhzk;  North","Anamaduwa","Lightning","2020.09.06","1","5","","","","","1","","","","",""
"Western","","","","","","","","","","","","","","",""
"","Dankotuwa","Rain & flood","","53","200","","","","","5","","","","",""
"","","","2020.09.07","","","","","","","","","","","",""
"","Naththandiya","Wind","","1","4","","","","","1","","1","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","159","680","0","0","0","0","15","1","2","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","159","680","0","0","0","0","15","1","2","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","1248","5070","2","6","0","41","528","6","2","4","64","228"
"","","","","","","රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
