"","Weather Forecast for Main Cities","","","Date :","26-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","A few showers"
"Batticaloa","36","27","85","50","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","90","70","Showers at times"
"Galle","30","27","90","80","Showers at times"
"Jaffna","32","27","90","75","Mainly fair"
"Kandy","29","24","90","70","Showers at times"
"Nuwara-Eliya","20","15","95","70","Showers at times"
"Ratnapura","32","26","95","75","Showers at times"
"Trincomalee","35","26","85","55","Mainly fair"
"Mannar","31","28","90","70","A few showers"
