"න්‍ රය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","36","24","90","45","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"මඩකලපුව","34","26","90","55","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"හකාළඹ","31","27","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ොල්ල","29","26","90","75","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"යාපනය","34","26","90","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","31","21","90","55","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"නුවරඑළිය","23","14","90","50","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති  විය  ැක"
"රත්නපුරය","33","24","90","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ිකුණාමලය","34","25","85","40","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මන්නාරම","32","26","85","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
