"","Weather Forecast for Main Cities","","","Date :","23-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","60","Mainly fair"
"Batticaloa","31","26","90","75","Mainly fair"
"Colombo","32","24","95","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","34","24","90","60","Showers or thundershowers after 2.00p.m"
"Jaffna","34","25","95","60","Mainly fair"
"Kandy","33","22","90","55","Mainly fair"
"Nuwara-Eliya","22","12","90","65","Mainly fair"
"Ratnapura","35","23","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","26","90","70","Mainly fair"
"Mannar","33","26","90","60","Mainly fair"
