"Palindanuwara","","3","6","","","","","3","","","","","",""
"Panadura","","","","","","","","","","1","","","",""
"Walallawita","","1","4","","","","","1","","","","","",""
"කළුතර  fSj;Jiw","","","","","","","","","","","","","",""
"6
High Wind
Dodamgoda","2024.07.29","1","4","","","","","1","","","","","",""
"Kalutara","","","","","","","","","","","","","",""
"Beruwala","","4","16","","","","","4","","","","","",""
"බස්ත්‍ර ොහිර පලොත","","","","","","","","","","","","","",""
"Madurawala","","1","4","","","","","1","","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","",""
"
Kalutara","","2","8","","","","","2","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","12","42","0","0","0","0","12","0","1","0","0","0",""
"ෙම්පහ        fk;g`h","","","","","","","","","","","","","",""
"High Wind
7
Aththanagalla","2024.07.30","10","51","","","","","10","","","","","",""
"Gampaha","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","10","51","0","0","0","0","10","0","0","0","0","0",""
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","22","93","0","0","0","0","22","0","1","0","0","0",""
"ෙොල්ල","","","","","","","","","","","","","","Due to the High wind a"
"8
Elpitiya
Tree Fallen
fhyp","2024.07.28","1","5","","","","","1","","","","","","tree has fallen to roof of"
"දකුනු පලොත","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","the house"
"Galle","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
Southern","","1","5","0","0","0","0","1","0","0","0","0","0",""
"පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","1","5","0","0","0","0","1","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","8398","26401","0","0","2","0","40","0","1","2","4","21",""
