"","","ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"","","","Thambalakamam","Drowning","2021.04.18
2","10","2","","","","","","","","",""
"","4","jp.kiy","","","","","","","","","","","","","",""
"නැවගනහිර","","","","","","","","","","","","","","","",""
"","","","Kantale","High Wind","2021.04.16-18
3","12","","","","","3","","","","",""
"","","Trincomalee","","","","","","","","","","","","","",""
"පලාත fpof;F","","","","","","","","","","","","","","","",""
"Eastern","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","5","22","2","0","0","0","3","0","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","5","22","2","0","0","0","3","0","0","0","0","0"
"","","","","","2021.04.14-16
5","21","","","","","5","","","","",""
"","","","Nawagaththegama","High Wind","","","","","","","","","","","",""
"","","","","","2021.04.15
2","8","","","","","2","","","","",""
"","","පුත්තලම","Arachchikattuwa","Lightning","2021.04.15
3","14","","","","","3","","","","",""
"වයඹ පලාත","5","","","","","","","","","","","","","","",""
"","","Gj;jsk; Puttalam","Karuwalagaswewa","Lightning / High Wind","2021.04.13-15
7","22","","","","","5","4","","","",""
"tlNky;","","","","","","","","","","","","","","","",""
"khfhzk;","","","Anamaduwa","Heavy Rain","2021.04.10
1","5","","","","","1","","","","",""
"North Western","","","","","","","","","","","","","","","",""
"","","","Puttalama","Fire","2021.04.18
1","6","1","","","","1","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","19","76","1","0","0","0","17","4","0","0","0","0"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","19","76","1","0","0","0","17","4","0","0","0","0"
