"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2024-12-05",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","33","23","95","55","සවස 2.00ේ පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"මඩකලපුව","29","25","90","65","වැසි ස්වල්පයක්"
"ගකාළඹ","30","24","90","60","සවස 2.00ේ පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ොල්ල","31","24","90","70","සවස 2.00ේ පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","32","24","90","70","වැසි ස්වල්පයක්"
"මහනුවර","30","20","95","50","සවස 2.00ේ පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"නුවරඑළිය","22","9","90","50","සවස 2.00ේ පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"රත්නපුරය","33","23","95","55","සවස 2.00ේ පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ත්‍රිකුණාමලය","31","24","90","60","වැසි ස්වල්පයක්"
