"","Weather Forecast for Main Cities","","","",""
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","29","25","90","65","A few showers"
"Colombo","30","24","90","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","24","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","32","24","90","70","A few showers"
"Kandy","30","20","95","50","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","9","90","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","23","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","24","90","60","A few showers"
"Mannar","30","25","90","70","A few showers"
