"","Weather Forecast for Main Cities","","","Date :","29-May-2025"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","85","65","A few showers"
"Batticaloa","36","26","85","50","Mainly fair"
"Colombo","31","25","90","75","Showers or thundershowers at times"
"Galle","30","24","90","80","Showers or thundershowers at times"
"Jaffna","32","28","85","70","Mainly fair"
"Kandy","28","24","90","75","Showers or thundershowers at times"
"Nuwara-Eliya","18","16","95","80","Showers or thundershowers at times"
"Ratnapura","31","25","95","75","Showers or thundershowers at times"
"Trincomalee","34","27","85","65","Mainly fair"
"Mannar","32","28","85","70","A few showers"
