"","","","","","","","KOik","sT","ன
்  சேதங் கள்","","fl;likg;Gf;fs;","","",""
"","District
Division","Families","People","","","g","","","","","","f   No.","s;","Persons"
"","","","","","People","","Fully","Partiall","Small, Medium,","","Damages to","","",""
"","","","","","","People","","","","","","of Safety","Families",""
"","","","","","","","","y","Enterprises","","critical","","",""
"","","","","","","","","","","","","Locations","",""
"","","","","","","","","","Damages","","Infrastructure","","",""
"","PasbageKorale
Fire","2020.07.01
1","5","","","","","1","","","","","",""
"","නුෙර","","","","","","","","","","","","",""
"","Udunuwara
High Wind","2020.07.03
2","6","","","","","2","","","","","",""
"මධයම පලොත","1
fz;b","","","","","","","","","","","","",""
"","Ganga ihala korale
Landslide risk","2020.07.01
18","70","","","","","","","","","1","18","70"
"kj;jpa khfhzk;","Kandy","","","","","","","","","","","","",""
"Central","Yatinuwara
Hevy rain","2020.07.03
1","5","","","","","1","","","","","",""
"","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","22","86","0","0","0","0","4","","0","0","1","18","70"
"","පළොත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","22","86","0","0","0","0","4","","0","0","1","18","70"
"","හම්බන්තොට","","","","","","","","","","","","",""
"","2
Katuwana
Fire
`k;ghe;Njhl;il","2020.07.01
1","4","","","","","1","","","","","",""
"","Hambantota","","","","","","","","","","","","",""
"දකුනු පලොත","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","1","4","0","0","0","0","1","","0","0","0","0","0"
"njd; khfhzk;","මොතර","","","","","","","","","","","","",""
"Southern","3
Thihagoda
Crocodile Attack
khj;jiw","2020.07.01","","","","1","","","","","","","",""
"","Matara","","","","","","","","","","","","",""
"","","0","0","0","0","1","0","0","","0","0","0","0","0"
