"","","","","","","","","","","","","","","","",""
"","","කළුතර","","","","","Page 3","","","","","","","","",""
"","11","Palindanuwara
fSj;Jiw","Rock Fallen","2020.09.06","16","49","","","","","","","","1","16","44 Gangarama Temple"
"","","Kalutara","","","","","","","","","","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","16","49","0","0","0","0","0","0","0","1","16","44"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","738","3040","1","5","0","3","232","1","0","2","17","49"
"","","Kalpitiya","","","1","3","","","","","1","","","","",""
"","","","Wind","2020.09.07","","","","","","","","","","","",""
"","","Chilaw","","","1","4","","","","","1","","1","","",""
"","","Mundalam","Rain & Wind","2020.09.06","2","6","","","","","2","","","","",""
"","","Wanathavilluwa","High wind","","1","4","","","","","","1","","","",""
"","12","","","2020.09.07","","","","","","","","","","","",""
"","","Wennappuwa","Rain & Wind","","99","454","","","","","4","","","","",""
"","","Anamaduwa","Lightning","2020.09.06","1","5","","","","","1","","","","",""
"වයඹ පලාත","","පුත්තලම    Gj;jsk;","","","","","","","","","","","","","",""
"","","Dankotuwa
Puttalam","Rain & flood","","53","200","","","","","5","","","","",""
"tlNky;","","","","2020.09.07","","","","","","","","","","","",""
"khfhzk;  North","","","Wind","","1","4","","","","","1","","1","","",""
"Western","","Naththandiya","","","","","","","","","","","","","","Veerahena Pokkalamulla"
"","","","Flood","2020.09.08","71","270","","","","","1","1","","1","4","12"
"","","","","","","","","","","","","","","","","kovil"
"","","","Flood","2020.09.08","400","1400","","","","","","","","","",""
"","","Mahawewa","Lightning","2020.09.07","1","5","","","","","1","","","","",""
"","","","Wind","2020.09.08","1","3","","","","","1","","","","",""
"","","දිසරික් එකතුව khtl;l $l;Lj;njhif District Total","","","632","2358","0","0","0","0","18","2","2","1","4","12"
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","632","2358","0","0","0","0","18","2","2","1","4","12"
"","","ත්‍රීකුණාමලය","","","","","","","","","","","","","",""
"","13","Seruwila
jp.kiy","High wind","2020.09.08","3","9","","3","","","","","","","",""
"නැමගනහිර පලාත","","Trincomalee","","","","","","","","","","","","","",""
"fpof;F    Eastern","","","","","","","","","","","","","","","",""
