"","","","Palinda Nuwara","","12","42","","","","",""
"","","","Bulathsinhala","","7","19","","","","",""
"Western Nky;","","","","","","","","","","",""
"","","","Ingiriya","","3","7","","","","","3"
"khfhzk;","","කළුතර","","","","","","","","",""
"","","","","Heavy Rain &","","","","","","",""
"බස්ත්‍රනොහිර පලොත","12","fSj;Jiw","Agalawatta","2022.09.01","2","7","","","","","1"
"","","","","Hi.Wind & Flood","","","","","","",""
"","","Kalutara","","","","","","","","",""
"","","","Mathugama","","3","11","","","","","3"
"","","","Beruwala","","1","4","","","","","1"
"","","","Walallavita","","2","9","","","","","2"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","30","99","0","0","0","0","10"
