"","Weather Forecast for Main Cities","","","","27-Jul-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","27","90","50","Mainly fair"
"Batticaloa","36","27","80","45","Mainly fair"
"Colombo","30","25","90","80","Several spells of showers"
"Galle","29","26","95","80","Several spells of showers"
"Jaffna","32","27","90","75","Mainly fair"
"Kandy","28","24","85","70","Several spells of showers"
"Nuwara-Eliya","17","14","95","85","Several spells of showers"
"Ratnapura","29","24","90","75","Several spells of showers"
"Trincomalee","36","26","80","70","Mainly fair"
"Mannar","31","27","90","80","Mainly fair"
