"The forecast track and intensity of the system are given in the following table","","",""
"Date/Time","Position","Maximum wind speed","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","(Kmph)","disturbance"
"27.11.24/0000","8.2/82.4","55-65 gusting to 75","Deep Depression"
"27.11.24/0600","8.6/82.3","55-65 gusting to 75","Deep Depression"
"27.11.24/1200","9.0/82.2","60-70 gusting to 80","Cyclonic Storm"
"27.11.24/1800","9.4/82.1","65-75 gusting to 85","Cyclonic Storm"
"28.11.24/0000","9.8/82.0","65-75 gusting to 85","Cyclonic Storm"
"28.11.24/1200","10.6/81.9","65-75 gusting to 85","Cyclonic Storm"
"29.11.24/0000","11.3/81.8","60-70 gusting to 80","Cyclonic Storm"
"29.11.24/1200","12.0/81.5","60-70 gusting to 80","Cyclonic Storm"
"30.11.24/0000","12.6/80.8","55-65 gusting to 75","Deep Depression"
