"","Weather Forecast for Main Cities","","","","9-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","95","65","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","27","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","27","95","75","Showers or thundershowers after 2.00p.m"
"Galle","32","27","95","75","Showers or thundershowers"
"Jaffna","35","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","33","24","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","24","14","95","55","Showers or thundershowers after 2.00p.m"
"Ratnapura","35","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","35","25","90","65","Showers or thundershowers after 2.00p.m"
"Mannar","33","27","90","70","Showers or thundershowers after 2.00p.m"
