"Weather Forecast for Main Cities","","","","Date :","23-Jul-2025"
"City","","Temperature (0C)","Relative","Humidity","Weather"
"","","","(%)","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","25","85","60","Mainly fair"
"Batticaloa","34","26","75","50","Mainly fair"
"Colombo","29","25","95","80","Showers at times"
"Galle","28","24","95","85","Showers at times"
"Jaffna","33","27","80","60","Mainly fair"
"Kandy","27","22","95","75","Showers at times"
"Nuwara-Eliya","16","15","95","90","Showers at times"
"Ratnapura","30","24","95","75","Showers at times"
"Trincomalee","34","26","75","50","Mainly fair"
"Mannar","31","27","85","65","Mainly fair"
"","ප්‍රධාන්‍  න්‍ගර සදහා කාලගුණ අන්‍ාවැකිය                                                        දින්‍ය :","","","","2025-07-23"
"න්‍ගරය","","උෂ්ණත්වය(ලස. අංශ්‍ක)","සාලේක්ෂ","","කාලගුණය"
"","","","ආර්ද්‍රතාවය(%)","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","32","25","85","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","34","26","75","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"හකාළඹ","29","25","95","80","විටින් විට වැසි"
"ගාල්ල","28","24","95","85","විටින් විට වැසි"
"යාපනය","33","27","80","60","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","27","22","95","75","විටින් විට වැසි"
"නුවරඑළිය","16","15","95","90","විටින් විට වැසි"
"රත්නපුරය","30","24","95","75","විටින් විට වැසි"
"ිකුණාමලය","34","26","75","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මන්නාරම","31","27","85","65","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"","பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல்","","","",""
"","","","","திகதி :","2025-07-23"
"நகரம்","","","","","வானிலை"
"","","வவப்பநிலை (0C)","","சாரீரப்பதன் (%)",""
"","உச்ச","குலைந்","உச்ச","குலைந்த",""
"","","த","","",""
"அனுராதபுரம்","","","","","பிரதானமாக சீரான வானிலை"
"","32","25","85","60",""
"மட்டக்களப்பு","","","","","பிரதானமாக சீரான வானிலை"
"","34","26","75","50",""
"வகாழும்பு","","","","","அவ்வப்பபாது மலை வபய்யும்"
"","29","25","95","80",""
"காலி","","","","","அவ்வப்பபாது மலை வபய்யும்"
"","28","24","95","85",""
"யாழ்ப்பாணம்","","","","","பிரதானமாக சீரான வானிலை"
"","33","27","80","60",""
"கண்டி","","","","","அவ்வப்பபாது மலை வபய்யும்"
"","27","22","95","75",""
"நுவவரலியா","","","","","அவ்வப்பபாது மலை வபய்யும்"
"","16","15","95","90",""
"இரத்தினபுரி","","","","","அவ்வப்பபாது மலை வபய்யும்"
"","30","24","95","75",""
"திருபகாணமலை","","","","","பிரதானமாக சீரான வானிலை"
"","34","26","75","50",""
"மன்னார்","","","","","பிரதானமாக சீரான வானிலை"
"","31","27","85","65",""
