"","Weather Forecast for Main Cities","","","Date :","2024-09-04"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","90","60","Mainly fair"
"Batticaloa","35","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","25","90","75","Showers or thundershowers at times"
"Galle","31","26","90","80","Showers or thundershowers at times"
"Jaffna","33","28","85","65","Mainly fair"
"Kandy","28","23","95","80","Several spells of showers"
"Nuwara-Eliya","17","15","95","80","Several spells of showers"
"Ratnapura","30","24","95","80","Showers or thundershowers at times"
"Trincomalee","37","27","85","50","Mainly fair"
"Mannar","32","28","85","75","Mainly fair"
