"නුවරඑලිය 
Ambagamuwa","","40","181","","1","","","3","","","","",""
"13
Landslide Risk
Etnuypah","2018.08.13","","","","","","","","","","","",""
"Nuwara Eliya
Nuwara Eliya","","13","50","","","","","6","","","1","1","5 Held Tamil Vidyalaya"
"මධයම පලාත","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total
kj;jpa","","53","231","0","1","0","0","9","0","0","1","1","5"
"khfhzk;","","","","","","","","","","","","",""
"Lagala Pallegama
මාතනල්/khj;jis/","","5","10","","","","","5","","","","",""
"14
High Wind
Centra","2018.08.14","","","","","","","","","","","",""
"Matale
Matale","","6","30","","","","","6","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","11","40","0","0","0","0","11","0","0","0","0","0"
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","64","271","0","1","0","0","20","0","0","1","1","5"
"කළුතර/fSj;Jiw
Western/","","","","","","","","","","","","",""
"15
Kaluthara
High Wind","2018.08.15","","","","","","1","","","","","",""
"/ Kalutara
Nky;","","","","","","","","","","","","",""
"khfhzk;බස්
දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","0","0","0","0","0","1","0","0","0","0","0","0"
"නාහිර පලාත","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","0","0","0","0","0","1","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","141593","476034","1","3","5","18","244","10","2","1","1","5"
