"","Weather Forecast for Main Cities","","","","2-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","95","40","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","25","95","75","Mainly fair"
"Colombo","34","26","85","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","26","75","60","A few showers"
"Kandy","33","22","90","55","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","11","95","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","95","50","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","55","Mainly fair"
"Mannar","32","26","90","65","Showers or thundershowers are likely after 2.00p.m"
