"","2020.08.05/07","","","","","","","","","","",""
"Yatinuwara","1
2020.08.07","6","","","","","1","","","","",""
"Kundasale","2
2020.08.04","9","","","","","2","","","","",""
"Minipe","1
2020.08.04","5","","","","","1","","","","",""
"දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","41","160","0","0","0","1","39","0","0","0","0","0"
"පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","49","208","0","1","0","2","46","0","0","0","0","0"
"Moratuwa","239","961","","8","","","238","3","","","",""
"Padukka","78","271","","","","","78","","","","",""
"Maharahgama","22","67","","","","","22","","","","",""
"Dehiwala","2","7","","","","","2","","","","",""
"ක ොළඹ    
Heavy Rain & High wind
Homagama","2020.08.06
153","620","","","","","153","","","","",""
"3
nfhOk;G","","","","","","","","","","","",""
"Thimbirigasyaya
Colombo","12","35","","","","","12","","","","",""
"Kesbewa","16","58","","","","","7","","","","",""
"Seethawaka","133","553","","","","","133","","","","",""
"","6","24","","","","","6","","","","",""
"Kolonnawa","","","","","","","","","","","",""
