"","","","","","","","","","","","","","","","",""
"","","Ingiriya","","","50","160","Page 2","","","","50","","","","","Situation Report on 2019.11.05 at 1800 hrs.xlsx"
"Western","","Bulathsinghala","","","5","19","","","","3","2","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","","",""
"","","Palindanuwara","","","9","30","","","","","9","","","","",""
"බස්නොහිර පලොත","","","","","","","","","","","","","","","",""
"","","Walallawita","","","5","19","","","","","5","","","","",""
"","","Mathugama","","","14","40","","","","","14","","","","",""
"","","Millaniya","","","4","15","","","","","0","","","","",""
"","ළුතර","","","","","","","","","","","","","","",""
"","","Dodangoda","","","5","20","","","","","5","","","","",""
"4","fSj;Jiw","","Heavy Rain & High wind","2020.08.06","","","","","","","","","","","",""
"","","Bandaragama","","","7","21","","","","3","4","","","","",""
"","Kalutara","","","","","","","","","","","","","","",""
"","","Panadura","","","40","130","","","","","40","","","","",""
"","","Agalawatta","","","3","11","","","","","3","","","","",""
"","","Beruwala","","","1","3","","","","","1","","","","",""
"","","Kalutara","","","6","20","","","","","6","","","","",""
"","","Madurawala","","","9","30","","","","","9","","","","",""
"","","Horana","","","39","100","","","","","39","","","","",""
"","දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","","197","618","0","0","0","6","187","0","0","0","0","0"
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","859","3218","0","8","0","7","838","4","0","0","0","0"
"","","Kadawathsathara","","","1","4","","","","","1","","","","",""
"","","Elpitiya","","","1","4","","","","","1","","","","",""
"","","Baddegama","","","2","7","","","","","2","","","","",""
"","ගොල්ල","Hikkaduwa","","","8","31","","","","","8","","","","",""
"5","fhyp","Thawalama","Heavy Rain & High wind","2020.08.06","1","6","","","","","2","","","","",""
"","Galle","","","","","","","","","","","","","","",""
"","","Ambalangoda","","","5","20","","","","","5","","","","",""
"","","Bope Poddala","","","5","22","","","","","5","","","","",""
"","","Karandeniya","","","7","24","","","","","7","","","","",""
"","","Welivitiya Divithura","","","2","7","","","","","2","","","","",""
"","දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","","32","125","0","0","0","0","33","0","0","0","0","0"
"දකුනු පලොත    njd;","","Matara","","","1","","","","","","","","","","",""
"khfhzk;","මොතර","","","","","","","","","","","","","","",""
"6","","Pitabeddara","Heavy Rain & High wind","2020.08.06","4","16","","","","","","","","","",""
"Southern","khj;jiw   Matara","","","","","","","","","","","","","","",""
"","","Thihagoda","","","3","9","","1","","","2","","","","",""
"","දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","","8","25","0","1","0","0","2","0","0","0","0","0"
"","","Thangalla","Heavy Rain & High wind","2020.08.06","10","42","","1","","","10","","","","",""
"","හම්බනකතොට","Beliatta","Tree Fallen","202.08.05/06","2","9","","","","","2","","","","",""
"7","`k;ghe;Njhl;ilH","","","","","","","","","","","","","","",""
"","ambantota","Thissamaharama","","2020.08.06","2","9","","","","","2","","","","",""
"","","","Heavy Rain & High wind","","","","","","","","","","","","",""
"","","Katuwana","","2020.08.07","2","4","","","","","2","","","","",""
"","දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","","16","64","0","1","0","0","16","0","0","0","0","0"
"","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","","","56","214","0","2","0","0","51","0","0","0","0","0"
"","","Opanayake","","","8","26","","","","1","1","","","","",""
"","","Eheliyagoda","","","265","799","","","","11","247","","","","",""
"","","Ayagama","","","38","119","","","","1","35","","","","",""
"","","Rathnapura","","","217","889","","","","1","216","","","","",""
"","","Elapatha","","","8","31","","","","","8","","","","",""
"","","Balangoda","","","6","24","","","","","4","","","","",""
"","රත්නපුර","","","","","","","","","","","","","","",""
"","","Kalawana","","","12","40","","","","","12","","","","",""
"8",",uj;jpdGhp","","Heavy Rain & High wind","2020.08.06","","","","","","","","","","","",""
"","","Kuruvita","","","547","2156","","1","","","547","","","","",""
"","Rathnapura","","","","","","","","","","","","","","",""
"","","Pelmadulla","","","44","182","","","","","44","","","","",""
"","","Weligepola","","","3","14","","","","","3","","","","",""
"සබරගමුව පලොත","","Nivithigala","","","3","12","","","","","3","","","","",""
"rg;ufKt","","Kiriella","","","215","867","","","","0","215","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","","Godakawela","","","1","5","","","","","1","","","","",""
"","","Colonna","","","1","4","","","","","1","","","","",""
"","දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","","1368","5168","0","1","0","14","1337","0","0","0","0","0"
"","","Dehiowita","High Wind","","54","203","","","","","4","","","","",""
"","","Mawanella","","","9","34","","1","","","9","","","","",""
"","","","Tree Fallen","","","","","","","","","","","","",""
"","ෑගල්ල","Warakapola","","2020.08.06","2","8","","","","","2","","","","",""
"9","","","","","","","","","","","","","","","",""
"","Nffhiy Kegalle","Deraniyagala","","","20","84","","","","","20","","","","",""
"","","","High Wind","","","","","","","","","","","","",""
"","","Bulathkohupititya","","","2","9","","","","","2","","","","",""
"","","Galigamuwa","Tree Fallen","2020.07.29","1","5","","","","","1","","","","",""
"","දිස්ික් එ තුව khtl;l $l;Lj;njhif District Total","","","","88","343","0","1","0","0","38","0","0","0","0","0"
