"කළුතර","","","","","","",""
"High Wind /Heavy","","","","","","",""
"2
fSj;Jiw 
Kalutara","2022.05.13/14
4","13","","","","","4"
"Rain/ Lightning
Western Nky;","","","","","","",""
"Kalutara","","","","","","",""
"Palindanuwara
khfhzk;","2","7","","","","","2"
"බස්ත්‍රනාහිර පලාත
Bandaragama","1","5","","","","","1"
"Horana","1","1","","","","","1"
"Madurawala","4","13","","","","","4"
"Millaniya","2","9","","","","","2"
"Agalawatta","7","27","","","","","7"
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","62","243","0","0","0","0","44"
