"","ේධතිකේ පුකරෝ ථන  ොර්ගය සෙ පේධතිකේ තීව්‍රතොවය","",""
"දිනය/කේලොව)","ස
්ථොනය","උපරි  සුළකේ කේගය (පැයට කි. මි.)","ැළඹිලි ස්වභොවය"
"(ශ්‍රී ලෙං ො පැය)","(උතුරු අක්්ොෙංශ oN","",""
"","නැකගනහිර කේශොෙංශ  oE)","",""
"11.05.23/1730","12.2/88.0","85-95 විටින් විට 105 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
"12.05.23/0530","13.1/88.2","115-125 විටින් විට 135 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"12.05.23/1730","14.5/88.6","135-145 විටින් විට 160 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"13.05.23/0530","15.9/89.4","145-155 විටින් විට 170 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"13.05.23/1730","17.5/90.5","150-160 විටින් විට 175 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"14.05.23/0530","19.1/91.9","150-160 විටින් විට 175 දක්වා","ඉතා චණ්ඩ සුළි කුණාටුවක්"
"14.05.23/1730","21.3/93.7","105-115 විටින් විට 125 දක්වා","චණ්ඩ සුළි කුණාටුවක්"
