"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","",""
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","23","95","70","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මඩකලපුව","30","24","95","80","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"හකාළඹ","33","26","90","65","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ගාල්ල","30","25","90","75","වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"යාපනය","30","24","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ම නුවර","29","22","95","80","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"නුවරඑළිය","17","15","95","80","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"රත්නපුරය","35","24","95","60","සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"ත්‍රිකුණාමලය","31","25","95","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
"මන්නාරම","30","26","85","75","විටින් විට වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ"
