"","Weather Forecast for Main Cities","","","","21-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","95","65","Mainly fair"
"Batticaloa","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","26","95","75","Several spells of showers"
"Galle","29","25","90","75","Showers at times"
"Jaffna","32","28","85","75","Mainly fair"
"Kandy","29","22","95","65","Several spells of showers"
"Nuwara-Eliya","20","15","90","50","Several spells of showers"
"Ratnapura","31","24","95","75","Showers at times"
"Trincomalee","34","26","85","60","Mainly fair"
"Mannar","31","27","85","75","Mainly fair"
