"මධයම ප඼෈ත","","","","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","","","","",""
"","","","","Flood","","59","257","","","","","","","","1","37","163 Bawuwagama"
"","","","","","","","","","","","","","","","","","Siwasamiwaththa"
"","","","","","2019.08.13","","","","","","","","","","","","Panithudawa"
"","","","","Cutting Failure","","11","54","","","","","10","","","1","1","Pradesheeya Sabha 
4"
"","","","Pasbagekorale","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","Hall"
"","","","","","2019.08.14","1","4","","","","","1","","","","",""
"","","","","High wind","","","","","","","","","","","","",""
"","","නුලර","","","2019.08.22","3","4","","2","","","1","","","","",""
"","4","fz;b","","","","","","","","","","","","","","",""
"","","","Udunuwara","","2019.08.23","1","5","","","","","1","","","","",""
"","","Kandy","","","","","","","","","","","","","","",""
"","","","Gangaihalakorale","","2019.08.19","1","3","","","","","1","","","","",""
"","","","Hatharaliyadda","High wind","2019.08.27","1","2","","","","","1","","","","",""
"","","","Minipe","","2019.08.11","1","5","","","","","1","","","","",""
"","","","Akurana","","2019.08.27","1","3","","","","","1","","","","",""
"","","","Udapalatha","Cutting Failure","2019.08.19","1","5","","","","","1","","","","",""
"","","දිස෇ත්‍රික් එකතුල/khtl;l $l;Lj;njhif/District Total","","","","80","342","0","2","0","0","18","0","0","2","38","167"
"","","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","","175","714","1","4","0","0","32","0","0","9","102","429"
"","","ගම්පහ","","","","","","","","","","","","","","",""
"","5","fk;g`h","Kelaniya","Fire","2019.08.19","13","59","","","","6","7","","","1","13","59"
"","","Gampaha","","","","","","","","","","","","","","",""
"","","දිස෇ත්‍රික් එකතුල khtl;l $l;Lj;njhif/District Total","","","","13","59","0","0","0","6","7","0","0","1","13","59"
"බස෇න෈හිර ප඼෈ත","","","","","","","","","","","","","","","","",""
"Western","","කළුතර","Madurawala","","","39","134","","","","","39","6","","","",""
"Nky; khfhzk ;","6","fSj;Jiw","","High wind","2019.08.23","","","","","","","","","","","",""
"","","Kalutara","Millaniya","","","10","42","","","","","10","1","","","",""
"","","දිස෇ත්‍රික් එකතුල khtl;l $l;Lj;njhif/District Total","","","","49","176","0","0","0","0","49","7","0","0","0","0"
"","","පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","","","","62","235","0","0","0","6","56","7","0","1","13","59"
"","","පපොප඼ොන්නරුල","","","","","","","","","","","","","","",""
"","","","Welikanda","","2019.08.09","2","9","","","","","2","","","","",""
"උතුරුම෉ද ප඼෈ත","7","nghyd;dWit","","High wind","","","","","","","","","","","","",""
"tlkj;jpa","","Polonnaruwa","Thamankaduwa","","2019.08.16","2","7","","","","","1","","","","",""
"khfhzk","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුල khtl;l $l;Lj;njhif District Total","","","","4","16","0","0","0","0","3","0","0","0","0","0"
"North Central","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුල khtl;l $l;Lj;njhif District Total","","","","4","16","0","0","0","0","3","0","0","0","0","0"
"","","","Gomarankadawala","","2019.08.09","2","7","","","","","2","","","","",""
"","","","Seruwila","","2019.08.08","1","4","","","","","1","","","","",""
"","","ත්‍රීකුණ෈ම඼ය","","High wind","","","","","","","","","","","","",""
"","8","jp.kiy","Thamankaduwa","","2019.08.10","1","4","","","","","1","","","","",""
"න෉පගනහිර ප඼෈ත","","Trincomalee","","","","","","","","","","","","","","",""
"","","","Dimbulagala","","2019.08.21","1","3","","","","","1","","","","",""
