"Badulla","","2019.10.20","1","1","","","","","1","","","","",""
"Meegahakiula","","2019.10.06","1","2","","","","","1","","","","",""
"Welimada","Heavy Rain","2019.10.12","32","190","3","2","","1","","","","","",""
"බදුල්ල       
Passara","","2019.10.13","11","60","","","","","11","","","","",""
"5
gJs;is","","","","","","","","","","","","","",""
"Hali Ela
ඌව","","2019.10.19","4","11","","","","","4","","","","",""
"Badulla","","","","","","","","","","","","","",""
"Cth khfhzk","","","","","","","","","","","","","",""
"Kandakatiya","Chemical Incident","2019.10.18","2","10","1","1","","","","","","","",""
"Uva","","","","","","","","","","","","","",""
"Mahiyangana","Lightning","2019.10.16","1","4","","","","","1","","","","",""
"Haldamulla","Landslide Risk","2019.10.17","23","108","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","75","386","4","3","0","1","18","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","75","386","4","3","0","1","18","0","0","0","0","0"
"Polgahawela","","2019.10.12","16","48","","","","","13","","1","","",""
"Maspotha","High Wind","","5","19","","","","","5","","","","",""
"Panduwasnuwa West","","","41","131","","","","","29","8","7","","",""
"Mahawa","Lightning","","2","9","","","","","2","","","","",""
"Bamunakotuwa","","","4","25","","","","","2","","","","",""
"Kobeigane","","","72","243","","","","3","69","29","7","","",""
"Galgamuwa","High Wind","","12","33","","","","","12","","","","",""
"","","2019.10.13","","","","","","","","","","","",""
"Alawwa","","","2","7","","","","","2","","","","",""
"Wariyapola","","","183","663","","4","","2","174","14","","","",""
"Ehetuwewa","Lightning","","1","4","","","","","1","","","","",""
"කුරුණෑගල","","","","","","","","","","","","","",""
"Narammala","High Wind","","2","6","","","","","2","","","","",""
"වයඹ පලාත   
6
FUdhfy;","","","","","","","","","","","","","",""
"Pannala
tlNky; khfhzk;","High Wind","","1","1","","","","","1","","1","","",""
"Kurunegala","","","","","","","","","","","","","",""
"North Western
Panduwasnuwara East","High Wind","","1","4","","","","","1","","","","",""
"Ganewaththa","","2019.10.11","1","3","","","","","1","","","","",""
"","Lightning","","","","","","","","","","","","",""
"Udubaddawa","","2019.10.11","3","10","","","","","2","2","","","",""
"Polpithigama","High Wind &","2019.10.20","11","44","","","","1","1","","","","",""
"Mawathagama","Heavy Rain","2019.10.16","2","7","","","","","2","","","","",""
"Bingiriya","","","1","2","","","","","","","","","",""
"","Flash Flood","","","","","","","","","","","","",""
"Nikaweratiya","","","22","80","","","","","","","","","",""
"Kuliyapitiya East","High Wind","2019.10.20","3","11","","","","","3","","","","",""
"Ibbagamuwa","Lightning","","1","4","","","","","1","","","","",""
"Kuliyapitiya West","High Wind","","1","2","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","387","1356","0","4","0","6","324","53","16","0","0","0"
"Mundalama","","","244","907","","","","","1","","","","",""
"Wanathavilluwa","","","32","110","","","","","6","","","1","16","64"
"Wennappuwa","","","368","1313","","","","","","","","1","35","110"
"Karuwalagaswewa","","","1","4","","","","","1","","","","",""
"Naththandiya","","","249","856","","","","","2","","","1","7","19"
"පුත්තලම     
Chilaw","Heavy","","120","460","","2","","","25","","","","",""
"7
Gj;jsk;","Rain/Lightning/Hi","2019.10.15","","","","","","","","","","","",""
"වයඹ පලාත","","","","","","","","","","","","","",""
"Puttalam
Puttalam","gh wind/flood","","946","2988","","","","","","","","","",""
"tlNky; khfhzk;","","","","","","","","","","","","","",""
"Dankotuwa
North Western","","","9","31","","1","","","7","1","","","",""
"Mahawewa","","","193","721","","","","","","","","","",""
"Mahakumbukkadawala","","","63","200","","","","","","","","","",""
"Arachchikatuwa","","","7","28","","","","","7","","","","",""
"Anamaduwa","","","1","4","","","","","1","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total","","","2233","7622","0","3","0","0","50","1","0","3","58","193"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","2620","8978","0","7","0","6","374","54","16","3","58","193"
"හම්බන්තාට","Cutting Failure/","","","","","","","","","","","","",""
"8
Katuwana
`k;ghe;Njhl;il","Lightning / High","2019.10.14/15","5","29","","","","","5","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","",""
"Hambantota","Wind","","","","","","","","","","","","",""
"/njd; khfhzk;","","","","","","","","","","","","","",""
