"","Weather Forecast for Main Cities","","","Date :","20-Dec-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","23","95","75","A few showers"
"Batticaloa","31","25","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","31","24","95","65","Showers at times"
"Galle","32","26","90","70","Several spells of showers"
"Jaffna","30","24","85","70","A few showers"
"Kandy","29","20","95","75","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","19","14","90","85","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","32","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","24","95","80","Showers or thundershowers are likely after 2.00p.m"
"Mannar","30","25","90","80","A few showers"
