"","Flash Flood","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"North","","","","","","","","","","","","","",""
"දිස්ික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","1","6","0","0","0","0","1","0","0","0","0","0"
"Western/","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","1","6","0","0","0","0","1","0","0","0","0","0"
"Maritimepattu
මුලතිව්","ක්ෂණික ජල ගැලීම්","2018.12.05","249","870","","","","","","","","","",""
"2
Ky;iyj;jPT 
උතුරු පලාත","jpBH nts;sk;","","","","","","","","","","","","",""
"tl 
Puthukudiiruppu
Mulaitivu","Flash Flood","2018.12.06","1","2","","","","","1","","","","",""
"khfhzk;","","","","","","","","","","","","","",""
"දිස්ික් එකතුව    khtl;l $l;Lj;njhif  District Total
Northen","","","250","872","0","0","0","0","1","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","250","872","0","0","0","0","1","0","0","0","0","0"
"මඩකලපුව","","","","","","","","","","","","","",""
"3
Manmunai North
නැවගනහිර 
kl;lf;fsg;G","Flood","2018.12.08","53","276","","","","","","","","","",""
"පලාත  
Batticaloa","","","","","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","",""
"දිස්ික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","53","276","0","0","0","0","0","0","0","0","0","0"
"Eastern","","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","53","276","0","0","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","304","1154","0","0","0","0","2","0","0","0","0","0"
