"","Weather Forecast for Main Cities","","","","20-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","31","26","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","31","26","90","65","Several spells of showers"
"Galle","30","26","90","75","Several spells of showers"
"Jaffna","31","24","90","70","Showers or thundershowers"
"Kandy","30","20","95","60","Several spells of showers"
"Nuwara-Eliya","21","12","90","60","Several spells of showers"
"Ratnapura","34","23","95","95","Several spells of showers"
"Trincomalee","33","24","90","60","Showers or thundershowers after 2.00p.m"
"Mannar","31","28","85","75","Showers or thundershowers"
