"","Weather Forecast for Main Cities","","","","11-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","95","65","Mainly fair"
"Batticaloa","33","26","90","65","Mainly fair"
"Colombo","30","26","95","75","Several spells of showers"
"Galle","29","26","90","80","Several spells of showers"
"Jaffna","32","28","85","70","Mainly fair"
"Kandy","29","22","95","80","Several spells of showers"
"Nuwara-Eliya","20","15","95","85","Several spells of showers"
"Ratnapura","32","23","95","75","Several spells of showers"
"Trincomalee","34","26","90","55","Mainly fair"
"Mannar","31","28","90","75","Mainly fair"
