"Palagala","2023.10.18","9","26","","","","","9","","","","",""
"අනුරාධ්‍පුර    m.Guk;","","","","","","","","","","","","",""
"8
Lightning
Galenbindunuwewa
උතුරුමැද පලාත","2023.10.17","1","4","","","","","1","","","","",""
"Anuradhapura","","","","","","","","","","","","",""
"tlkj;jpa","","","","","","","","","","","","",""
"Palugaswewa","2023.10.18","1","5","","","","","1","","","","",""
"khfhzk;","","","","","","","","","","","","",""
"North Central
දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total","","11","35","0","0","0","0","11","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","11","35","0","0","0","0","11","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","3423","13658","1","3","0","23","950","2","0","7","132","499"
"","","","","ආපදා කළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
