"","","","","","","","Water","Water","","","24 Hr RF"
"","Heda Oya","Siyambalanduwa","m","4.50","6.00","7.00","0.18","0.18","Normal","","0.0"
"(RB 36)","","","","","","","","","","",""
"Maduru Oya","","","","","","","","","","",""
"","Maduru Oya","Padiyathalawa","m","4.00","4.50","6.00","0.02","0.02","Normal","","0.0"
"(RB 54)","","","","","","","","","","",""
"","Mahaweli Ganga","Manampitiya","m","3.00","4.30","6.00","-0.04","-0.06","Normal","","0.0"
"","Mahaweli Ganga","Weraganthota","m","5.00","6.00","8.00","-2.65","-2.63","Normal","","0.0"
"Mahaweli","","","","","","","","","","",""
"","Mahaweli Ganga","Peradeniya","m","5.00","7.00","9.00","2.10","2.20","Normal","","0.0"
"Ganga (RB 60)","","","","","","","","","","",""
"","Mahaweli Ganga","Nawalapitiya","m","3.50","5.00","6.00","1.04","1.04","Normal","","10.4"
"","Badulu Oya","Thaldena","m","3.00","4.00","5.00","0.19","0.16","Normal","","0.0"
"Yan Oya","","","","","","","","","","",""
"","Yan Oya","Horowpothana","m","6.00","7.50","10.50","1.40","1.40","Normal","","0.0"
"(RB 67)","","","","","","","","","","",""
"Maa Oya (RB","","","","","","","","","","",""
"","Mukunu Oya","Yaka Wewa","m","4.00","5.00","6.00","0.44","0.44","Normal","","0.0"
"69)","","","","","","","","","","",""
"Malwathu Oya","","","","","","","","","","",""
"","Malwathu Oya","Thanthirimale","m","5.00","6.80","7.80","0.40","0.40","Normal","","0.0"
"(RB 90)","","","","","","","","","","",""
"Mee Oya","","","","","","","","","","",""
"","Mee Oya","Galgamuwa","m","4.84","5.94","8.00","0.15","0.15","Normal","","0.0"
"(RB 95)","","","","","","","","","","",""
"Deduru Oya","","","","","","","","","","",""
"","Deduru Oya","Moragaswewa","m","4.75","6.00","7.00","-0.03","-0.03","Normal","","0.0"
"(RB 99)","","","","","","","","","","",""
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","1.71","1.71","Normal","","0.0"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","0.69","0.69","Normal","","0.0"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","-0.03","-0.03","Normal","","0.0"
"(RB 103)","","","","","","","","","","",""
"Prepared by :","S.G.V.R.D.N.A. Gunasekara (H.A.)","","","","","","","","","",""
"Cheecked by :","W.A.S.Saumya (H.D.S(Act))","","","","","","","","","",""
