"","Weather Forecast for Main Cities","","","","22-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","55","Mainly fair"
"Batticaloa","32","24","90","70","Mainly fair"
"Colombo","32","26","85","60","Mainly fair"
"Galle","32","25","85","70","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","31","24","90","60","Mainly fair"
"Kandy","32","22","85","50","Mainly fair"
"Nuwara-Eliya","20","15","90","45","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","23","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","24","85","65","Mainly fair"
"Mannar","31","24","90","55","Mainly fair"
