"","Weather Forecast for Main Cities","","","","24-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","26","95","75","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","95","80","Showers or thundershowers at times"
"Galle","29","25","95","85","Showers or thundershowers at times"
"Jaffna","32","24","95","75","Showers or thundershowers at times"
"Kandy","29","22","95","70","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","12","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","31","24","95","85","Showers or thundershowers at times"
"Trincomalee","32","25","95","70","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","25","95","75","Showers or thundershowers at times"
