"","gpuNjr nra.gp     DS","","commenced","","","","Injured","Missing","","","","","","",""
"","","","","","","","","","KOik Fully","ன","்  சேதங் கள்","","","",""
"","","","","Families","People","","People","People","","Partially","","Damages to","f   No.","s; 
Persons",""
"","District
Division","","","","","","","","","","Small, Medium,","","","",""
"","","","","","","","","","","","","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","","Tree Fallen","2025.04.02","3","5","","","","","3","","","","",""
"","Warakapola","Lightning","2025.04.02","2","8","","","","","2","","","","",""
"","","Lightning","2025.04.03","1","3","","","","","1","","","","",""
"","","Tree Fallen","2025.04.02","2","8","","","","","2","","","","",""
"","කෑගල්ල","","","","","","","","","","","","","",""
"","Nffhiy    
1
Ruwanwella","Tree Fallen","2025.04.03","1","1","","","","","1","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"Sabaragamuwa","","Lightning","2025.04.03","9","28","","","","","9","","","","",""
"","","Tree Fallen","2025.04.02","1","1","","","","","1","","","","",""
"","Kegalle","","","","","","","","","","","","","",""
"","","Tree Fallen","2025.04.03","1","4","","","","","1","","","","",""
"","Yatiyanthota","Lightning","2025.04.03","1","3","","","","","1","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","21","61","0","0","0","0","21","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","21","61","0","0","0","0","21","0","0","0","0","0"
"","පුත්තලම","","","","","","","","","","","","","","14 houses were affeced by"
"","2
Karuwalagaswewa
Gj;jsk;","Lightning","2025.04.03","","","","","","","14","","","","","lightning effet damaging"
"ෙයඹ පලාත","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","the electrical appliences"
"tlNky; khfhzk;","Puttalam","","","","","","","","","","","","","",""
"North Western","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","0","0","0","0","0","0","14","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","0","0","0","0","0","0","14","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","21","61","0","0","0","0","35","0","0","0","0","0"
"","","","","","","ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
