"Mundalama
Flood","2023.12.07","67","271","","","","","","","","","",""
"පුත්තලම","","","","","","","","","","","","",""
"වයඹ පලාත  
Gj;jsk;   
5
Anamaduwa
Heavy Rain","2023.12.07","1","1","","","","","1","","","","",""
"tlNky; 
Puttalam","","","","","","","","","","","","",""
"Nattandiya
Heavy Rain","2023.12.06","1","2","","","","","1","","","","",""
"khfhzk;   North","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total
Western","","69","274","0","0","0","0","2","0","0","0","0","0"
"පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total","","69","274","0","0","0","0","2","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","123","500","1","1","0","0","51","440","0","11","176","589"
"","","","","ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre","","","","","","","","",""
