"පළාත් ඵකතුල khfhz $l;Lj;njhif Province Total","788","2960","4","5","0","3","642","11","0","5","15","58"
"Suriyawewa
Tree Fallen","2019.07.19
10","30","3","1","","","1","","","","",""
"Tangalle","1","4","","","","","1","","","","",""
"Angunukolapelessa","7","23","","","","","6","","","","",""
"Katuwana
හම්බන්තතොට","21","83","","","","1","22","","","","",""
"6
Walasmulla
`k;ghe;Njhl;I","48","172","","","","1","40","","","","",""
"Hambantota
Ambalanthota","2019.07.18/21","","","","","","3","1","","","",""
"Beliaththa","2019.07.18/19
16","69","","","","","7","1","","","",""
"Weeraketiya","2019.07.19/20
6","23","","","","","3","","","","",""
"Thangalla
Tree Fallen","2019.07.19
3","15","","","","","3","","","","",""
"දිස෇ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","112","419","3","1","0","2","86","2","0","0","0","0"
"Habaraduwa","106","375","","","","","106","1","","","",""
"Baddegama","55","165","","","","","46","9","","","",""
"Bope Poddala","59","275","1","1","","1","57","1","","","",""
"Imaduwa","41","136","","","","","40","1","","","",""
"Thawalama","19","56","","","","","15","4","","","",""
"Hikkaduwa","89","301","","1","","3","78","8","1","","",""
"Kadawathasathara","92","320","1","","","","92","1","2","","",""
"Nagoda","61","222","","","","","56","5","1","","",""
"Ambalangoda","37","150","","","","","37","2","1","","",""
"ග෈ල්඼","2019.07.18/19/2","","","","","","","","","","",""
"High Wind
Balapitiya","82","362","","","","","80","2","","","",""
"0
7
fhyp","","","","","","","","","","","",""
"Niyagama
Galle","21","72","","","","","21","1","","","",""
"Elpitiya","35","130","","","","1","32","2","","","",""
"Benthota","30","89","","","","","28","2","","","",""
"Akmimana","87","350","","1","","","86","1","","","",""
"දකුනු ප඼෈ත","","","","","","","","","","","",""
"Neluwa","4","11","","","","","11","","","","",""
"njd; khfhzk;","","","","","","","","","","","",""
"Southern
Gonapinuwala","19","72","","","","","19","","","","",""
"Waliwita diwithura","26","103","","","","","26","","","","",""
"Karandeninya","59","175","","","","","59","","","","",""
"Yakkalamulla","29","105","","","","2","26","1","1","","",""
"Kadawathasathara
Fire","1
2019.07.23","2","","1","","1","","","","","",""
"දිස෇ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","952","3471","2","4","0","8","915","41","6","0","0","0"
"Hakmana","19","71","","","","","19","","","","",""
"Pasgoda","51","221","","","","","51","","","","",""
"Akurassa","25","113","","","","","22","","3","","",""
"Dewinuwara","30","114","","","","","30","","","","",""
"Mulatiyana","20","75","","","","","20","","","","",""
"Matara","55","237","","1","","","51","","4","","",""
"Waligama","122","394","","","","","117","","5","","",""
"ම෈තර","","","","","","","","","","","",""
"Kotapola
High Wind /","21
2019.07.18/19/2","108","","","","1","20","","","","",""
"8
khj;jiw","","","","","","","","","","","",""
"Heavy Rain
Kirinda Puhulwella","0/21
12","49","","","","","12","","","","",""
"Matara","","","","","","","","","","","",""
"Walipitiya","18","81","","","","","18","","","","",""
"Kamburupitiya","16","56","","","","","16","","","","",""
"Thihagoda","18","65","","","","","18","","","","",""
"Malimboda","20","96","","","","","20","","","","",""
"Dikwella","14","49","","","","","14","","","","",""
"Athuraliya","15","58","","3","","","14","","1","","",""
"Pitabaddara","5","22","","","","","5","","","","",""
"දිස෇ත්‍රික් එකතුල    khtl;l $l;Lj;njhif  District Total","461","1809","0","4","0","1","447","0","13","0","0","0"
