"","","","","","","","","","KOik","sT 
ன","்  சேதங் கள்","fl;likg;Gf;fs;","f   No.","","",""
"","","District
Division","","Families","People","","People","g","","","","","","s;","Persons",""
"","","","","","","","","","Fully","Partiall","Small, Medium,","Damages to","of Safety","","",""
"","","","","","","","","People","","","","","","Families","",""
"","","","","","","","","","","y","Enterprises","critical","Location","","",""
"","","","","","","","","","","","Damages","Infrastructure","s","","",""
"","","Bandarawela","Heavy Rain
2019.12.20","1","5","","","","","","","","1","1","","5 Yowun Senankaya"
"","","බදුල්ල","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","Kanawarella sarwodaya"
"","1","gJs;is     
Passara","Landslide Risk
2019.12.05","5","18","","","","","","","","1","5","18",""
"Cth khfhzk;","","","","","","","","","","","","","","","","building"
"","","Badulla","","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","","","",""
"","","Ella","Landslide Risk
2019.12.20","5","12","","","","","","","","1","5","","12 Karandagolla Temple"
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","11","35","0","0","0","0","0","0","0","3","11","35",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","11","35","0","0","0","0","0","0","0","3","11","35",""
"","","","High Wind
2020.02.12","1","4","","","","","1","","","","","",""
"","","Ruwanwella","","","","","","","","","","","","","",""
"","","කෑගල්ල","","","","","","","","","","","","","",""
"","","","2020.01.17
Drought","220","900","","","","","","","","","","","Distribution of drinking water"
"","2","Nffhiy","","","","","","","","","","","","","",""
"","","Bulatkohupitiya","2020.02.10","61","277","","","","","","","","","","",""
"","","Kegalle","","","","","","","","","","","","","",""
"","","Deraniyagala","2020.02.06","225","960","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","",""
"rg;ufKt","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","507","2141","0","0","0","0","1","0","0","0","0","0",""
"Sabaragamuwa","","","","","","","","","","","","","","","",""
"","","රත්නපුර      
Eheliyagoda","Drought
2020.02.07","1921","7959","","","","","","","","","","",""
"","3",",uj;jpdGhp","","","","","","","","","","","","","",""
"","","Rathnapura
Ayagame","2020.02.11
Fire","1","2","","","","1","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1922","7961","0","0","0","1","0","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2429","10102","0","0","0","1","1","0","0","0","0","0",""
"","","","Drought
2020.02.11","350","1213","","","","","","","","","","",""
"","","Akurana","","","","","","","","","","","","","",""
"","","නුවර","High Wind
2020.02.11","1","2","","","","","1","","","","","",""
"","4","fz;b","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","","Minipe","Tree fallen
2020.02.04","1","4","","","","","1","","","","","",""
"kj;jpa khfhzk;","","Kandy","","","","","","","","","","","","","",""
"","","Medadumbara","2020.02.12","1","2","","","","","1","","","","","",""
"Central","","","High Wind","","","","","","","","","","","","",""
"","","Doluwa","2020.02.11","1","4","","","","","1","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","354","1225","0","0","0","0","4","0","0","0","0","0",""
"","","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","354","1225","0","0","0","0","4","0","0","0","0","0",""
"","","Kalutara","","19776","78359","","","","","","","","","","",""
"","","කළුතර","","","","","","","","","","","","","",""
"","","Beruwala","Dissolving salts","24147","116465","","","","","","","","","","",""
"","5","fSj;Jiw","2020.01.20","","","","","","","","","","","","","Distribution of drinking water"
"Western","","","in drinking water","","","","","","","","","","","","",""
"","","Panadura","","2694","9905","","","","","","","","","","",""
"Nky; khfhzk","","Kalutara","","","","","","","","","","","","","",""
"","","Dodangoda","","4545","13664","","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","51162","218393","0","0","0","0","0","0","0","0","0","0",""
